,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127,sample_128,sample_129,sample_130,sample_131,sample_132,sample_133,sample_134,sample_135,sample_136,sample_137,sample_138,sample_139,sample_140,sample_141,sample_142,sample_143,sample_144,sample_145,sample_146,sample_147,sample_148,sample_149,sample_150,sample_151,sample_152,sample_153,sample_154,sample_155,sample_156,sample_157,sample_158,sample_159,sample_160,sample_161,sample_162,sample_163,sample_164,sample_165,sample_166,sample_167,sample_168,sample_169,sample_170,sample_171,sample_172,sample_173,sample_174,sample_175,sample_176,sample_177,sample_178,sample_179,sample_180,sample_181,sample_182,sample_183,sample_184,sample_185,sample_186,sample_187,sample_188,sample_189,sample_190,sample_191,sample_192,sample_193,sample_194,sample_195,sample_196,sample_197,sample_198,sample_199,sample_200,sample_201
box_20cm_sensor_50cm_1_13 13_1_filtered.csv,0.058996433,0.064150824,0.073696909,0.061791724,0.063441629,0.070549009,0.065142595,0.064469335,0.066104812,0.067358784,0.067310408,0.062058791,0.067307809,0.071050186,0.059989884,0.064915426,0.074301677,0.060729525,0.061042213,0.075740051,0.064184427,0.057185173,0.07446129,0.069283917,0.05513283,0.070423644,0.074035047,0.056292564,0.064883759,0.076106895,0.06077248,0.060225151,0.074014954,0.066941434,0.058848643,0.068172065,0.072116239,0.061716553,0.060845676,0.074104546,0.067701553,0.054851449,0.072462238,0.074353612,0.051929258,0.068486359,0.079480052,0.052017994,0.064089556,0.082297015,0.053757367,0.060575345,0.083495587,0.055564202,0.058089613,0.084493534,0.056561432,0.055823333,0.086380035,0.057032419,0.052825936,0.088929935,0.058128749,0.049255545,0.090261609,0.060613282,0.047404048,0.08782647,0.063132032,0.051384873,0.080648177,0.061391026,0.064968971,0.071422684,0.049451388,0.088622249,0.066628995,0.022813668,0.117903637,0.07404165,-0.018691761,0.144670552,0.099076378,-0.070229774,0.160424728,0.142283163,-0.12376804,0.159605103,0.199188702,-0.170820354,0.141086282,0.261841215,-0.204421259,0.107839068,0.32068813,-0.219923194,0.065785534,0.366156034,-0.215284483,0.022566896,0.390185494,-0.191378988,-0.013811334,0.387934795,-0.15214716,-0.036622713,0.359265057,-0.104119388,-0.042114688,0.309292676,-0.055097012,-0.030685063,0.247467989,-0.012215982,-0.006932239,0.185149167,0.019941894,0.021757694,0.132380299,0.040296626,0.047749658,0.095213805,0.050781083,0.065681012,0.07474834,0.054871679,0.073724204,0.067963242,0.056153333,0.073292107,0.069457592,0.057453578,0.067892413,0.073290164,0.060316091,0.06182626,0.07473239,0.064636926,0.058805623,0.071736021,0.068874097,0.060553649,0.065398581,0.071136161,0.066074236,0.058886657,0.070544544,0.072312003,0.05537601,0.067812153,0.075940813,0.05634478,0.064679012,0.075112468,0.061108483,0.062824645,0.07019057,0.067461714,0.063038248,0.063368606,0.072816382,0.064932607,0.057586681,0.075352529,0.067186017,0.055182271,0.074762941,0.068291356,0.056798992,0.07213756,0.067539703,0.061226779,0.068964125,0.065514916,0.066417844,0.066041327,0.063527253,0.07091863,0.063313171,0.062399737,0.074460587,0.060705258,0.061813828,0.077261767,0.058891591,0.060938765,0.078988314,0.05893806,0.059646034,0.07872151,0.061120391,0.058849318,0.076027727,0.064361436,0.059544107,0.071756096,0.067016903,0.061758842,0.067586361,0.068073177,0.064530511
box_20cm_sensor_50cm_1_13 12_filtered.csv,0.112869949,0.114006059,0.124839619,0.114026016,0.111084653,0.1250521,0.117521976,0.108591681,0.122581389,0.121936217,0.108578128,0.117664853,0.125066844,0.112019475,0.11196053,0.125115719,0.118107178,0.107769467,0.121718897,0.124569741,0.106821623,0.116201642,0.128846243,0.109328761,0.110915391,0.129455886,0.11381289,0.108013361,0.126860824,0.117795992,0.108259369,0.12340391,0.119034404,0.110438016,0.122332932,0.116699042,0.111688215,0.126386834,0.111869531,0.108612008,0.136688184,0.107098283,0.098552779,0.152443808,0.105405197,0.080440718,0.171338105,0.109304167,0.055075872,0.190149975,0.120162048,0.025071725,0.205313273,0.137847637,-0.005394825,0.213453491,0.160568653,-0.031076662,0.212056392,0.184858913,-0.046542462,0.200399812,0.205811194,-0.047627061,0.180638508,0.21788021,-0.033402756,0.158447082,0.216614012,-0.008064325,0.142303882,0.201182395,0.018439435,0.140867509,0.176711044,0.032143363,0.159014403,0.154856815,0.0193012,0.194309807,0.151483024,-0.028233182,0.235950353,0.181694923,-0.108729821,0.267167892,0.25393021,-0.209307482,0.270465177,0.365325426,-0.308342149,0.233927277,0.5001519,-0.381060707,0.156529072,0.632312665,-0.406973998,0.050455945,0.73190945,-0.376989048,-0.061087597,0.774427982,-0.297398341,-0.15078017,0.749375659,-0.18838939,-0.196750403,0.664443953,-0.076867211,-0.190749695,0.542674437,0.013551043,-0.140809996,0.413515873,0.070579503,-0.06688304,0.302060251,0.095500206,0.008158996,0.221647922,0.099166954,0.067349515,0.172743965,0.094804559,0.104121019,0.147275832,0.091820485,0.121268608,0.135017515,0.093408793,0.126266844,0.12841402,0.09804515,0.12623962,0.124039219,0.102832282,0.125189282,0.121236047,0.106175268,0.124099627,0.119912657,0.108409533,0.122690081,0.119295983,0.110710207,0.121013208,0.118174395,0.113658723,0.119818059,0.115890497,0.116692475,0.119857553,0.112946212,0.118672821,0.121096702,0.110659774,0.118884609,0.122610446,0.110203094,0.117605632,0.123216955,0.11179007,0.115888853,0.122293567,0.114565987,0.114828328,0.120173361,0.117195587,0.114858215,0.117894978,0.118728525,0.115513429,0.116486187,0.119215071,0.115800704,0.11620509,0.119660551,0.11500292,0.116254748,0.121243942,0.113388723,0.115295754,0.12426729,0.112220318,0.112523683,0.127635795,0.112900534,0.108554507,0.129400328,0.115780991,0.105330497,0.128157815,0.119598483,0.104840373,0.12426278,0.122264995,0.107562855,0.119641518,0.122459172,0.112114758,0.116338168
box_20cm_sensor_50cm_1_13 12_2_filtered.csv,0.070515416,0.070868168,0.07769323,0.068361239,0.071193495,0.078613901,0.067764145,0.071594004,0.077386585,0.068956005,0.072783268,0.073819518,0.071145403,0.075217531,0.068819181,0.073051516,0.078761659,0.064024587,0.073472515,0.082637091,0.061273528,0.0717984,0.085549741,0.061932295,0.06840018,0.08613247,0.066195115,0.064591063,0.083664959,0.072782731,0.062039598,0.078622527,0.079335479,0.061976596,0.072667437,0.083306622,0.06459368,0.068125345,0.083004225,0.068776411,0.067101977,0.078533043,0.072370801,0.07032374,0.072152945,0.073295502,0.076215779,0.067328492,0.071156904,0.081292758,0.066511667,0.067974863,0.082327046,0.069223916,0.066821006,0.078921166,0.072376953,0.069126637,0.074088943,0.072909773,0.073143751,0.071929512,0.070438389,0.075301523,0.074233636,0.067387387,0.073504602,0.079026352,0.066354788,0.06947403,0.082428409,0.067028364,0.067911311,0.082335549,0.065457143,0.072951792,0.08084133,0.056470153,0.084689459,0.083433251,0.037345437,0.098445035,0.095710798,0.009919134,0.10711243,0.120165826,-0.020118906,0.104637136,0.15496261,-0.045700009,0.088445084,0.194687072,-0.060777477,0.060144272,0.231915685,-0.061820504,0.025056014,0.258970732,-0.04866366,-0.00903805,0.269986153,-0.024795928,-0.034098806,0.26300718,0.003510096,-0.044677925,0.240917361,0.029490294,-0.040015638,0.210179162,0.048557802,-0.023919551,0.177937374,0.059645544,-0.002452809,0.149346073,0.064512189,0.018917474,0.126578868,0.065922944,0.037001393,0.109447345,0.066123695,0.050986075,0.09663049,0.066227312,0.061583738,0.086768087,0.066328543,0.069908934,0.079133619,0.066059396,0.076554699,0.073682821,0.065292549,0.0813398,0.070502914,0.064459967,0.08387278,0.069256217,0.064146594,0.084299791,0.069254536,0.064434676,0.083393565,0.069977899,0.064826242,0.081983978,0.071281384,0.064823665,0.080497136,0.073057636,0.064439515,0.079036126,0.074891843,0.064135246,0.077673469,0.076144005,0.064423623,0.076564627,0.076293246,0.065519366,0.075903873,0.075257534,0.067151461,0.075789957,0.073586564,0.068666985,0.075980972,0.072319294,0.069534832,0.075807673,0.072334584,0.069856273,0.074604165,0.073624852,0.070256164,0.072400426,0.07524473,0.071180274,0.070152765,0.076054341,0.072301855,0.069218289,0.075614182,0.07258133,0.070462821,0.074555194,0.070946136,0.073603922,0.074183613,0.067146625,0.077224401,0.075570759,0.062198605,0.079493456,0.078728564,0.058066042,0.079182232,0.082397684,0.05670825
box_20cm_sensor_50cm_1_13 12_1_filtered.csv,0.090707683,0.084415832,0.083264244,0.089007253,0.084688355,0.085545278,0.0875038,0.082566762,0.089043352,0.087206333,0.079112724,0.091919813,0.088279919,0.075982678,0.092921785,0.090151003,0.074468681,0.091812678,0.09200408,0.074974945,0.08926347,0.093153897,0.076987617,0.086528213,0.093262644,0.079314869,0.084930634,0.092504558,0.08060097,0.085231074,0.091484526,0.080007849,0.087314776,0.090824667,0.077562067,0.090502923,0.090808936,0.073800388,0.094158016,0.09151233,0.069018797,0.097981184,0.093314918,0.062810887,0.101759098,0.097304747,0.054331243,0.104772727,0.105124828,0.043263333,0.105342826,0.118041097,0.031004031,0.101152185,0.135447004,0.021074467,0.090697245,0.153805356,0.017823341,0.075146643,0.167408287,0.023717748,0.058859868,0.171302254,0.037159675,0.047310339,0.164704212,0.053001112,0.043273107,0.152195827,0.066016034,0.04400248,0.141308522,0.075063349,0.041773298,0.13785634,0.084909015,0.027732169,0.142085609,0.104383421,-0.003315126,0.147954158,0.142069641,-0.049839081,0.145625078,0.201895726,-0.103429232,0.125634642,0.280470328,-0.15120056,0.082951877,0.366940498,-0.179731345,0.019593631,0.445350508,-0.179322632,-0.054988339,0.498870658,-0.147385297,-0.125939271,0.514802761,-0.08991908,-0.177110934,0.488942992,-0.020264818,-0.196313932,0.427602808,0.045079788,-0.179900256,0.345865688,0.092364158,-0.134355361,0.262211251,0.115483831,-0.073615768,0.191886486,0.117220855,-0.013291774,0.142402207,0.106337713,0.035079619,0.113118145,0.092607962,0.066946555,0.098231119,0.08268852,0.084137089,0.090842771,0.078524906,0.091987984,0.086024924,0.078246152,0.096010499,0.081965028,0.078509635,0.099489002,0.07926582,0.076986676,0.102794787,0.079130812,0.073753349,0.104464222,0.081646134,0.070874147,0.103146704,0.085337138,0.070608589,0.098939905,0.088201697,0.073737836,0.093232412,0.089102991,0.07930109,0.087625782,0.088178212,0.085569343,0.083226875,0.086151903,0.09099369,0.080766302,0.083644662,0.094379932,0.080800974,0.081249826,0.094787113,0.083334545,0.079901263,0.091868419,0.08728187,0.080661802,0.086457552,0.09065733,0.083910883,0.080608158,0.09161864,0.088718905,0.07676719,0.089609986,0.093040782,0.076565037,0.085786238,0.094667393,0.079954829,0.082457659,0.092414545,0.085161026,0.081831406,0.086932341,0.089526641,0.084664315,0.080599474,0.090954056,0.089632512,0.076320178,0.08916237,0.094029878,0.075802831,0.085799013,0.095528501,0.078582711,0.083162909
box_20cm_sensor_50cm_1_13 11_filtered.csv,0.084743236,0.086881025,0.100123376,0.084984848,0.087784874,0.098295021,0.085773026,0.089312446,0.095700827,0.086952203,0.09065389,0.092999394,0.088774858,0.091284766,0.09027276,0.091233105,0.091549648,0.087499402,0.093448515,0.092254291,0.085271983,0.094019454,0.093692865,0.084749128,0.092142389,0.095205542,0.086722598,0.088403499,0.095746803,0.09074403,0.084465073,0.094810299,0.095216691,0.082023147,0.092773946,0.098308717,0.081979783,0.090538055,0.098846004,0.084222158,0.089014451,0.096717628,0.087765794,0.088784063,0.09289265,0.09112681,0.08982764,0.089084344,0.093004022,0.091417491,0.086962765,0.092989634,0.092477192,0.087252029,0.091702306,0.092284553,0.089426856,0.090207019,0.090891992,0.092253565,0.089298234,0.088914423,0.094624807,0.089207868,0.087016761,0.096038531,0.089727344,0.085569514,0.096604442,0.090490713,0.084540403,0.096755275,0.091352284,0.083536638,0.096728873,0.092760828,0.082120545,0.095973762,0.095730554,0.080432417,0.092997765,0.101134295,0.07963088,0.086101707,0.10877415,0.081513149,0.074633616,0.117115564,0.087398779,0.059761052,0.123991342,0.097149588,0.044166761,0.127666567,0.109043631,0.031012206,0.127518086,0.120422352,0.022856648,0.124140948,0.128627815,0.020891024,0.119043582,0.131910214,0.024608776,0.114019992,0.130082712,0.032096483,0.110340911,0.124560874,0.040950851,0.108223211,0.11761582,0.049308415,0.106971773,0.111290048,0.056364314,0.105600039,0.106649689,0.062269706,0.103434867,0.103628483,0.067673722,0.100452459,0.101353637,0.073145439,0.097295236,0.09878344,0.078704254,0.09493256,0.095387944,0.083739091,0.0940834,0.091494084,0.087385611,0.094741707,0.088105561,0.089095084,0.096086019,0.086343308,0.089061392,0.096812734,0.086774848,0.088300524,0.095803425,0.088908449,0.088239734,0.092901747,0.091226058,0.089849407,0.089286686,0.092001552,0.092822684,0.086925314,0.090514152,0.09556812,0.087267326,0.08769015,0.096240953,0.090155346,0.085521619,0.094074134,0.093878535,0.085673192,0.089950002,0.096306563,0.088371722,0.085862367,0.096176737,0.092291889,0.083798786,0.093710977,0.095326062,0.084752123,0.090379619,0.095717899,0.088272694,0.088052959,0.093015478,0.092719175,0.087962291,0.088365534,0.096124838,0.090008411,0.083918974,0.097246073,0.092858188,0.081636855,0.096157647,0.094797602,0.082235051,0.094042744,0.094766427,0.084896198,0.092401275,0.092938822,0.087812937,0.092172785,0.090620577,0.089226351,0.093145319
box_20cm_sensor_50cm_1_13 11_1_filtered.csv,0.091891526,0.075950369,0.086567744,0.089183527,0.077591797,0.087510568,0.087037448,0.078848779,0.087792345,0.085878347,0.07998622,0.087343349,0.085410981,0.080893579,0.086790991,0.085395174,0.081069036,0.086572538,0.085980263,0.080365393,0.086425554,0.087155764,0.079491037,0.085936302,0.088127368,0.079456721,0.085486235,0.087584069,0.080422107,0.086474192,0.084748443,0.081062713,0.090548635,0.08028341,0.078983397,0.098497476,0.076387133,0.071834959,0.109521605,0.07606947,0.058493591,0.121237351,0.081974349,0.039778418,0.130406742,0.095236237,0.018403573,0.134092595,0.114861929,-0.001801529,0.130709649,0.137888814,-0.017012976,0.120539336,0.160169755,-0.024426444,0.105631009,0.177450841,-0.022925075,0.089205008,0.186460107,-0.013233427,0.074677408,0.185643547,0.002644227,0.064651209,0.175032138,0.022547696,0.060619651,0.155099808,0.044951406,0.063933974,0.12550473,0.068374866,0.077392995,0.085195711,0.089575726,0.105717292,0.034355918,0.102259421,0.153744879,-0.02322541,0.09804702,0.223158799,-0.079423354,0.069636434,0.309860634,-0.123450315,0.014379575,0.403498906,-0.144969048,-0.063507477,0.489190746,-0.137270467,-0.152769149,0.550798897,-0.099751772,-0.23698805,0.575207944,-0.039115078,-0.298479397,0.55664721,0.031615052,-0.323542384,0.49927025,0.09668477,-0.307195444,0.416344999,0.142765368,-0.255134905,0.325944028,0.163471245,-0.181727861,0.244797099,0.161111357,-0.104630608,0.182979451,0.144665673,-0.038313749,0.14196306,0.12485937,0.01034632,0.116896623,0.109089444,0.042198677,0.101342658,0.099220724,0.062203769,0.09112939,0.093162413,0.075073777,0.085060609,0.088303197,0.083152438,0.083024699,0.083851375,0.087156798,0.083971705,0.080648026,0.087982914,0.085713474,0.079467338,0.087390936,0.08634464,0.079912204,0.087063454,0.085485999,0.080934161,0.087401539,0.083997194,0.08207269,0.087582522,0.082624492,0.083810007,0.086855732,0.081179836,0.086600623,0.085622267,0.079131432,0.089738488,0.085082263,0.076824113,0.091489303,0.085825648,0.075773471,0.090557213,0.086962772,0.07745028,0.087422943,0.086886062,0.081682357,0.084074596,0.085000856,0.08638967,0.082253938,0.082626089,0.089122361,0.081906007,0.0820127,0.089041281,0.081365689,0.084323126,0.087506268,0.079091951,0.088449976,0.086778244,0.075309395,0.091747328,0.088026906,0.072066578,0.092072305,0.090375013,0.071608499,0.089406148,0.091814879,0.074504958,0.085631584,0.091050444,0.079282587,0.082865542,0.088441119
box_20cm_sensor_50cm_1_13 10_filtered.csv,0.105441595,0.081293237,0.102653053,0.113533318,0.082323278,0.09539655,0.114969313,0.089011783,0.091479342,0.109131742,0.096451036,0.093648171,0.100113439,0.099600943,0.100173568,0.094074016,0.096944557,0.105804067,0.095024695,0.091628126,0.105374393,0.101988522,0.089258147,0.09757925,0.109529446,0.093851141,0.086223749,0.111418722,0.104794987,0.077833291,0.104969355,0.117191219,0.077093253,0.092832224,0.125566032,0.08345243,0.080746951,0.128199179,0.091623555,0.072907568,0.128561411,0.095746838,0.068658667,0.132519112,0.093986985,0.063269737,0.143404013,0.089903658,0.052219494,0.158862256,0.089530089,0.03551064,0.172001696,0.09657745,0.018511876,0.175892283,0.109597865,0.008714124,0.167892915,0.123114672,0.011079922,0.150738636,0.13134916,0.025520714,0.130255102,0.131282442,0.047870315,0.112191235,0.122939959,0.072751117,0.100691622,0.107552448,0.095693475,0.09879751,0.085868053,0.11328956,0.109453369,0.058160542,0.122198192,0.135465231,0.02562443,0.118528,0.178200211,-0.008203249,0.098354565,0.23589504,-0.037025769,0.05915788,0.302469282,-0.052672165,0.001681979,0.367399548,-0.047287036,-0.068350052,0.417192823,-0.016546356,-0.139656674,0.438815646,0.037216489,-0.197163477,0.424398319,0.103891653,-0.226407472,0.375134095,0.167948798,-0.219033738,0.301965669,0.213812778,-0.176581286,0.222143275,0.231780025,-0.110359526,0.153073679,0.221522286,-0.037302719,0.106324841,0.191554265,0.026265656,0.084410053,0.155104499,0.070168957,0.08150092,0.124430299,0.092923417,0.087432573,0.106164976,0.100397548,0.092985907,0.099765392,0.101417974,0.093837117,0.099693484,0.10272001,0.091147129,0.099901341,0.106159383,0.088765153,0.097624082,0.109641902,0.089395848,0.094018972,0.110447734,0.092698708,0.091813168,0.107940986,0.096323019,0.092499301,0.103740898,0.098220763,0.095419106,0.100062232,0.097946892,0.098781673,0.098227466,0.096346638,0.101040219,0.098325251,0.094646497,0.101555355,0.099555266,0.093822885,0.10065314,0.100699681,0.094260617,0.09937942,0.100691603,0.095609364,0.098935284,0.099182097,0.097012818,0.099963163,0.096724967,0.097651192,0.102150583,0.094467907,0.097200528,0.104349276,0.093629672,0.096010585,0.105024009,0.094938015,0.095079152,0.102932975,0.098072162,0.095711553,0.097997902,0.101496304,0.098674732,0.091847485,0.103217106,0.103270133,0.087231052,0.102227981,0.10734743,0.08629334,0.099382011,0.108701695,0.089064352,0.096673847,0.106728262,0.093616123
box_20cm_sensor_50cm_1_13 10_1_filtered.csv,0.081818369,0.071820281,0.060613727,0.078253982,0.072884723,0.064941838,0.073111995,0.07220151,0.071255169,0.068370985,0.070162558,0.077075429,0.065519184,0.068023965,0.080260401,0.064844048,0.06719978,0.080128311,0.065459648,0.068251098,0.077772317,0.066221386,0.070320384,0.075125515,0.066808466,0.071730987,0.073446911,0.067851693,0.071382709,0.072653117,0.069948832,0.069545418,0.072093618,0.072760015,0.067191507,0.071745166,0.075313755,0.064669135,0.072388842,0.077149698,0.061271527,0.074650321,0.07887776,0.056152837,0.078144088,0.081478329,0.049478401,0.081690811,0.085195388,0.042584402,0.084206652,0.08923448,0.037168215,0.08523803,0.092416701,0.034436075,0.084814964,0.09394802,0.034793173,0.083181277,0.093647442,0.037822192,0.080872538,0.091870884,0.042171916,0.078783184,0.089655979,0.045648154,0.077610973,0.088928823,0.046051545,0.076895696,0.092132888,0.042516626,0.074578529,0.10121381,0.036368795,0.067562031,0.116648588,0.030890033,0.05286649,0.137084125,0.030270268,0.028774685,0.159522462,0.038330196,-0.004283935,0.179777332,0.057322991,-0.043197231,0.193183573,0.086936558,-0.08223698,0.195682547,0.123736359,-0.114044748,0.185206778,0.16143079,-0.131614372,0.162896684,0.192321444,-0.130794595,0.133289755,0.209842744,-0.112081077,0.102828658,0.211092736,-0.080373731,0.077256449,0.197718278,-0.042683037,0.059617043,0.174555961,-0.005422272,0.050107803,0.147246894,0.026982567,0.04729089,0.120587222,0.052009529,0.049215273,0.098107117,0.068590185,0.053808793,0.082069075,0.076992572,0.059049623,0.073269336,0.078724343,0.063375906,0.070927061,0.076056539,0.066057026,0.073071579,0.071379685,0.067146665,0.077246676,0.066756823,0.067182836,0.081133612,0.063610913,0.066969835,0.08307796,0.062389814,0.067335121,0.082615522,0.062517796,0.068623982,0.080628946,0.063021288,0.070275173,0.078660972,0.063451922,0.071138617,0.077724376,0.064163426,0.070470798,0.077678294,0.065636204,0.068643368,0.077728312,0.067652627,0.066834071,0.077408733,0.069241264,0.06607085,0.077030967,0.069376641,0.066547755,0.077327719,0.067731621,0.06763916,0.078760493,0.064977141,0.068409305,0.08097737,0.062550905,0.068301744,0.082689665,0.061939249,0.067702684,0.082187278,0.063708978,0.06792126,0.078419769,0.066946854,0.070358045,0.071940143,0.06969292,0.075381137,0.06489418,0.070143184,0.0817921,0.05998774,0.06777216,0.087261008,0.059103216,0.063713835,0.089446182,0.062294371,0.060226787
box_20cm_sensor_50cm_1_12 9_filtered.csv,0.115736831,0.106260696,0.121605636,0.116672333,0.10649889,0.120281067,0.117063646,0.108072929,0.118587638,0.116356408,0.11080944,0.117029692,0.114624624,0.114071148,0.115850418,0.11251157,0.11706781,0.114978186,0.110897237,0.11913657,0.11416387,0.110539419,0.119877299,0.113170174,0.111861981,0.119143509,0.111892575,0.114944756,0.116962879,0.110333322,0.119659349,0.113518358,0.108431811,0.125780688,0.109269325,0.105915486,0.132919065,0.105087501,0.102385401,0.140331231,0.102165341,0.097654667,0.146851326,0.101609411,0.092104322,0.151121741,0.103913622,0.086763873,0.152061876,0.108641302,0.083010798,0.149327188,0.11451482,0.082026114,0.143529328,0.119872974,0.084255905,0.136114764,0.123306655,0.089127756,0.128890601,0.124226178,0.095247081,0.123279811,0.123044693,0.101186315,0.119628576,0.12066057,0.106594687,0.117147131,0.117281675,0.112850525,0.114864023,0.111302725,0.122471952,0.113181601,0.099259757,0.137310798,0.114899275,0.077312474,0.156591595,0.124706429,0.043596479,0.176169732,0.147137889,8.57E-05,0.189651025,0.184012163,-0.047115175,0.190875451,0.232646356,-0.089219173,0.176606489,0.285673634,-0.117363905,0.14830938,0.332647176,-0.125482836,0.112264653,0.363067164,-0.112445551,0.077756686,0.369888757,-0.082543355,0.053818541,0.352111444,-0.043919877,0.045811483,0.315189912,-0.005477836,0.053421281,0.268904544,0.026366723,0.071121623,0.223590822,0.049517469,0.090939455,0.186534005,0.065769917,0.106092045,0.160240181,0.078578041,0.113577823,0.143161384,0.090519003,0.114487629,0.132006975,0.101996994,0.112239348,0.12401219,0.111722983,0.110126245,0.11793159,0.11824697,0.109713517,0.113647915,0.121245566,0.110749506,0.111217362,0.12171916,0.112140586,0.110264724,0.121233735,0.11302671,0.110025131,0.120971847,0.113309636,0.109734326,0.121212483,0.113572031,0.109010108,0.121367901,0.114590523,0.108077393,0.120463056,0.116687846,0.107707108,0.117877145,0.11931638,0.108738432,0.113954485,0.121281233,0.11139121,0.109982838,0.121541418,0.114934825,0.107450532,0.119948277,0.118073103,0.107135864,0.117304069,0.119756653,0.1087261,0.114761995,0.119768055,0.111151481,0.113139402,0.118701005,0.113222515,0.112658928,0.117515554,0.114047387,0.113128875,0.117125984,0.113095678,0.11417664,0.11825311,0.110204243,0.115243711,0.121344615,0.105812332,0.115507285,0.126258355,0.101246139,0.114153384,0.131814924,0.098492592,0.111085876,0.135819853,0.099172631,0.107480839
box_20cm_sensor_50cm_1_12 9_2_filtered.csv,0.137508401,0.129216689,0.145268507,0.142496574,0.128459906,0.140786465,0.146481616,0.129639161,0.136619272,0.148202602,0.13183401,0.134170265,0.147600095,0.134220066,0.133632206,0.145321151,0.136427526,0.134434191,0.142254943,0.13827506,0.135793418,0.139395628,0.139559712,0.136929679,0.137618218,0.140243655,0.137240674,0.137206174,0.140619763,0.136626637,0.137624137,0.141122369,0.135582969,0.13786794,0.142084316,0.134824251,0.137003858,0.14373092,0.13486776,0.134458616,0.146137951,0.135982322,0.13021328,0.148932519,0.138226181,0.125096688,0.151177041,0.141203906,0.120774751,0.151905821,0.143858131,0.11898118,0.150940872,0.144882262,0.120372936,0.149114481,0.143649981,0.12399365,0.147610202,0.140855594,0.127843444,0.147005307,0.138292442,0.130128885,0.146693212,0.137939398,0.130496533,0.144891803,0.140766963,0.130835348,0.139309733,0.145520477,0.135216399,0.128592286,0.148021425,0.14845468,0.114057768,0.141897206,0.173558285,0.100437656,0.120975713,0.209484551,0.094710292,0.082229033,0.250634118,0.103503232,0.027698222,0.288314209,0.130383321,-0.035392037,0.313389411,0.174100875,-0.096238018,0.31916603,0.228324941,-0.14331104,0.303642262,0.283076796,-0.167675716,0.270289777,0.327553181,-0.165600743,0.22695674,0.35331279,-0.139424922,0.183341932,0.356577044,-0.0964584,0.148078879,0.338941777,-0.046519689,0.126381608,0.306517115,0.001017697,0.118833061,0.267839066,0.039849174,0.121721678,0.231037964,0.068137945,0.129087319,0.201227124,0.087890023,0.135740247,0.179481109,0.10251131,0.139506088,0.164039481,0.114181766,0.141246105,0.15270625,0.122915645,0.142942036,0.144521021,0.127690879,0.14562421,0.139665343,0.12828585,0.148696596,0.138253246,0.126158143,0.150715247,0.139405367,0.123885042,0.150566468,0.141311396,0.123900039,0.14817293,0.14196228,0.127386388,0.144584248,0.140016868,0.133699779,0.141525396,0.135543993,0.140550911,0.140412405,0.130286363,0.145169403,0.141271998,0.126914385,0.14603609,0.14252079,0.1273513,0.14394539,0.142100982,0.131323674,0.141382949,0.139166,0.136461166,0.140621032,0.134790895,0.140015988,0.142165816,0.131012949,0.140736583,0.144866169,0.129162333,0.139254814,0.147324345,0.129162371,0.136864365,0.14897536,0.130363237,0.134218053,0.14978114,0.132698265,0.131369978,0.149274323,0.136621768,0.128823229,0.146510545,0.141871986,0.127944658,0.141277242,0.146707819,0.129903091,0.135122085,0.148862891,0.134244444,0.130690662
